District,Taluka,Year,Cluster
Ahmednagar District,Akole,2010,1
Ahmednagar District,Akole,2011,0
Ahmednagar District,Akole,2012,1
Ahmednagar District,Akole,2013,0
Ahmednagar District,Akole,2014,1
Ahmednagar District,Akole,2015,0
Ahmednagar District,Akole,2016,0
Ahmednagar District,Akole,2017,1
Ahmednagar District,Akole,2018,1
Ahmednagar District,Akole,2019,1
Ahmednagar District,Akole,2020,1
Ahmednagar District,Akole,2021,1
Ahmednagar District,Akole,2022,1
Ahmednagar District,Akole,2023,1
Ahmednagar District,Akole,2024,1
Ahmednagar District,Jamkhed,2010,2
Ahmednagar District,Jamkhed,2011,2
Ahmednagar District,Jamkhed,2012,2
Ahmednagar District,Jamkhed,2013,0
Ahmednagar District,Jamkhed,2014,2
Ahmednagar District,Jamkhed,2015,2
Ahmednagar District,Jamkhed,2016,1
Ahmednagar District,Jamkhed,2017,2
Ahmednagar District,Jamkhed,2018,2
Ahmednagar District,Jamkhed,2019,1
Ahmednagar District,Jamkhed,2020,1
Ahmednagar District,Jamkhed,2021,2
Ahmednagar District,Jamkhed,2022,1
Ahmednagar District,Jamkhed,2023,1
Ahmednagar District,Jamkhed,2024,0
Ahmednagar District,Karjat,2010,2
Ahmednagar District,Karjat,2011,2
Ahmednagar District,Karjat,2012,2
Ahmednagar District,Karjat,2013,2
Ahmednagar District,Karjat,2014,2
Ahmednagar District,Karjat,2015,1
Ahmednagar District,Karjat,2016,1
Ahmednagar District,Karjat,2017,2
Ahmednagar District,Karjat,2018,1
Ahmednagar District,Karjat,2019,2
Ahmednagar District,Karjat,2020,2
Ahmednagar District,Karjat,2021,2
Ahmednagar District,Karjat,2022,2
Ahmednagar District,Karjat,2023,2
Ahmednagar District,Karjat,2024,2
Ahmednagar District,Kopargaon,2010,0
Ahmednagar District,Kopargaon,2011,0
Ahmednagar District,Kopargaon,2012,0
Ahmednagar District,Kopargaon,2013,2
Ahmednagar District,Kopargaon,2014,2
Ahmednagar District,Kopargaon,2015,2
Ahmednagar District,Kopargaon,2016,2
Ahmednagar District,Kopargaon,2017,1
Ahmednagar District,Kopargaon,2018,1
Ahmednagar District,Kopargaon,2019,2
Ahmednagar District,Kopargaon,2020,1
