District,Taluka,Year,NDVI,Red,Green,Blue,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,Green/Red_Ratio,Cluster
Ahmednagar District,Akole,2010,0.0118,89.01,85.35,69.79,1344.374,0.0509,0.0096,0.9589,1
Ahmednagar District,Akole,2011,0.0273,89.3,91.05,80.14,649.8702,0.073,0.0135,1.0196,0
Ahmednagar District,Akole,2012,-0.0884,107.02,89.93,69.66,1005.5576,0.0606,0.0108,0.8404,1
Ahmednagar District,Akole,2013,0.0452,83.26,86.83,88.6,903.2133,0.0653,0.0122,1.0428,0
Ahmednagar District,Akole,2014,-0.0453,96.22,87.11,75.01,1033.1265,0.0624,0.0115,0.9053,1
Ahmednagar District,Akole,2015,0.038,89.8,93.35,93.32,876.8364,0.0669,0.012,1.0395,0
Ahmednagar District,Akole,2016,0.1123,67.75,75.9,75.06,1086.4802,0.0602,0.0107,1.1202,0
Ahmednagar District,Akole,2017,-0.1349,91.4,71.88,58.2,1006.2524,0.0653,0.0117,0.7865,1
Ahmednagar District,Akole,2018,0.0228,82.71,79.81,73.91,1079.7646,0.0605,0.0101,0.9649,1
Ahmednagar District,Akole,2019,0.0202,90.48,89.76,75.04,855.2234,0.0722,0.0118,0.992,1
Ahmednagar District,Akole,2020,-0.0415,96.82,86.88,79.14,1298.0444,0.057,0.0098,0.8973,1
Ahmednagar District,Akole,2021,0.0168,88.21,85.13,69.56,1354.3114,0.0521,0.0096,0.965,1
Ahmednagar District,Akole,2022,0.0168,88.16,85.09,69.53,1354.1478,0.0522,0.0096,0.9651,1
Ahmednagar District,Akole,2023,0.0281,85.99,85.07,71.53,1347.1686,0.0559,0.0098,0.9893,1
Ahmednagar District,Akole,2024,0.027,81.91,81.13,69.89,1197.9729,0.058,0.0107,0.9904,1
Ahmednagar District,Jamkhed,2010,0.0351,110.18,114.57,119.66,579.6075,0.0878,0.0128,1.0398,2
Ahmednagar District,Jamkhed,2011,-0.0087,115.8,110.28,105.15,771.3023,0.0772,0.011,0.9524,2
Ahmednagar District,Jamkhed,2012,0.0351,110.18,114.57,119.66,579.6075,0.0878,0.0128,1.0398,2
Ahmednagar District,Jamkhed,2013,0.0787,100.83,107.67,103.37,851.7932,0.0734,0.0104,1.0679,0
Ahmednagar District,Jamkhed,2014,0.0103,110.82,107.84,102.65,812.1065,0.078,0.0107,0.9731,2
Ahmednagar District,Jamkhed,2015,-0.062,137.25,121.86,104.98,1279.0077,0.0553,0.0091,0.8879,2
Ahmednagar District,Jamkhed,2016,0.0018,103.94,97.21,93.4,1243.0222,0.0609,0.009,0.9353,1
Ahmednagar District,Jamkhed,2017,-0.0725,125.77,108.89,93.16,1308.8973,0.053,0.0091,0.8658,2
Ahmednagar District,Jamkhed,2018,0.0409,102.03,105.42,99.94,1110.7183,0.0584,0.0095,1.0333,2
Ahmednagar District,Jamkhed,2019,-0.1553,130.83,97.42,76.9,651.2774,0.073,0.0126,0.7446,1
Ahmednagar District,Jamkhed,2020,-0.1528,124.81,94.69,78.13,557.4144,0.0821,0.0127,0.7586,1
Ahmednagar District,Jamkhed,2021,-0.1193,127.49,103.29,87.67,424.4817,0.1169,0.0187,0.8102,2
Ahmednagar District,Jamkhed,2022,-0.0317,112.28,103.9,95.24,1417.2015,0.056,0.0091,0.9254,1
Ahmednagar District,Jamkhed,2023,0.0095,92.1,89.39,86.17,1182.1497,0.0586,0.0098,0.9706,1
Ahmednagar District,Jamkhed,2024,0.0485,96.83,101.27,105.27,930.0858,0.0684,0.0112,1.0458,0
Ahmednagar District,Karjat,2010,-0.0265,134.58,125.51,118.15,623.0486,0.0876,0.0133,0.9326,2
Ahmednagar District,Karjat,2011,0.0321,120.81,125.24,130.16,533.016,0.0897,0.0142,1.0367,2
Ahmednagar District,Karjat,2012,-0.1125,163.75,132.05,109.94,654.5619,0.0833,0.0133,0.8064,2
